級別,單字,屬性,輸出,中文
1,big,adj.,big (adj.),大的
1,bird,n.,bird (n.),鳥
1,bite,n./v.,bite (n./v.),咬
1,black,adj./n.,black (adj./n.),黑色的
1,blind,adj./v.,blind (adj./v.),瞎的
1,block,n./v.,block (n./v.),堵塞
1,blow,v.,blow (v.),吹
1,blue,adj./n.,blue (adj./n.),藍色的
1,boat,n.,boat (n.),船
1,body,n.,body (n.),身體
1,book,n./v.,book (n./v.),書
1,bored,adj.,bored (adj.),無聊的
1,boring,adj.,boring (adj.),無聊的
1,born,adj.,born (adj.),出生
1,borrow,v.,borrow (v.),借
1,boss,n./v.,boss (n./v.),老闆
1,both,pron./adv./adj.,both (pron./adv./adj.),兩個都
1,bottle,n./v.,bottle (n./v.),瓶子
1,bottom,n./adj./v.,bottom (n./adj./v.),底部
1,bow,n./v.,bow (n./v.),弓
1,bowl,n.,bowl (n.),碗
1,box,n./v.,box (n./v.),盒子
1,boy,n.,boy (n.),男生
1,brave,adj.,brave (adj.),勇敢的
1,bread,n.,bread (n.),麵包
1,break,n./v.,break (n./v.),休息
1,breakfast,n./v.,breakfast (n./v.),早餐
1,bridge,n./v.,bridge (n./v.),橋
1,bright,adj./adv.,bright (adj./adv.),明亮的
1,bring,v.,bring (v.),帶來
1,brother,n.,brother (n.),兄弟
1,brown,adj./v./n.,brown (adj./v./n.),棕色的
1,bug,n./v.,bug (n./v.),漏洞
1,build,v.,build (v.),建造
1,bus,n.,bus (n.),公車
1,business,n.,business (n.),商業
1,busy,adj.,busy (adj.),忙碌的
1,but,conj./prep./adv.,but (conj./prep./adv.),但
1,butter,n./v.,butter (n./v.),奶油
1,butterfly,n.,butterfly (n.),蝴蝶
1,button,n./v.,button (n./v.),按鈕
1,buy,v./n.,buy (v./n.),買
1,by,prep./adv.,by (prep./adv.),經過
1,cake,n.,cake (n.),蛋糕
1,call,v./n.,call (v./n.),稱呼
1,camera,n.,camera (n.),相機
1,camp,n./v.,camp (n./v.),營
1,can,aux./n./v.,can (aux./n./v.),能
1,cap,n./v.,cap (n./v.),帽子
1,car,n.,car (n.),車
1,card,n.,card (n.),卡片
1,care,n./v.,care (n./v.),關心
1,careful,adj.,careful (adj.),小心
1,carrot,n.,carrot (n.),紅蘿蔔
1,carry,v.,carry (v.),攜帶
1,case,n./v.,case (n./v.),案件
1,cat,n.,cat (n.),貓
1,catch,v./n.,catch (v./n.),抓住
1,celebrate,v.,celebrate (v.),慶祝
1,cellphone,n.,cellphone (n.),智慧型手機
1,cent,n.,cent (n.),分
1,center,n.,center (n.),中心
1,certain,adj./pron.,certain (adj./pron.),肯定
1,chair,n./v.,chair (n./v.),椅子
1,chance,n./v.,chance (n./v.),機會
1,change,n./v.,change (n./v.),改變
1,cheap,adj./adv.,cheap (adj./adv.),便宜的
1,check,v./n.,check (v./n.),查看
1,cheese,n.,cheese (n.),起司
1,chicken,n.,chicken (n.),雞
1,child,n.,child (n.),孩子
1,chocolate,n.,chocolate (n.),巧克力
1,choice,n./adj.,choice (n./adj.),選擇
1,choose,v.,choose (v.),選擇
1,church,n.,church (n.),教會
1,circle,n./v.,circle (n./v.),圓圈
1,city,n.,city (n.),城市
1,class,n./v.,class (n./v.),班級
1,clean,adj./v./adv./n.,clean (adj./v./adv./n.),乾淨的
1,clear,adj./v./adv.,clear (adj./v./adv.),清除
1,clerk,n.,clerk (n.),職員
1,climb,v./n.,climb (v./n.),爬
1,clock,n.,clock (n.),鐘
1,close,adj./adv./v./n.,close (adj./adv./v./n.),關閉
1,clothes,n.,clothes (n.),衣服
1,cloud,n.,cloud (n.),雲
1,club,n./v.,club (n./v.),俱樂部
1,coat,n./v.,coat (n./v.),外套
1,coffee,n.,coffee (n.),咖啡
1,cold,adj./n.,cold (adj./n.),寒冷的
1,collect,v.,collect (v.),收集
1,color,n./v.,color (n./v.),顏色
1,come,v.,come (v.),來
1,comfortable,adj.,comfortable (adj.),舒服的
1,common,adj./n.,common (adj./n.),常見的
1,computer,n.,computer (n.),電腦
1,convenient,adj.,convenient (adj.),方便的
1,cook,v./n.,cook (v./n.),廚師
1,cookie,n.,cookie (n.),餅乾
1,cool,adj./v./n.,cool (adj./v./n.),涼爽的
1,copy,n./v.,copy (n./v.),複製
1,corner,n.,corner (n.),角落
1,correct,adj./v.,correct (adj./v.),正確的
1,cost,n./v.,cost (n./v.),成本
1,couch,n./v.,couch (n./v.),長椅
1,count,v./n.,count (v./n.),數數
1,country,n.,country (n.),國家
1,course,n./v.,course (n./v.),課程
1,cousin,n.,cousin (n.),表哥
1,cover,v./n.,cover (v./n.),覆蓋
1,cow,n.,cow (n.),乳牛
1,crazy,adj.,crazy (adj.),瘋狂的
1,cross,n./v.,cross (n./v.),叉
1,cry,v./n.,cry (v./n.),哭
1,cup,n.,cup (n.),杯子
1,cut,v./n.,cut (v./n.),切
1,cute,adj.,cute (adj.),可愛的
1,dance,n./v.,dance (n./v.),舞蹈
1,dangerous,adj.,dangerous (adj.),危險的
1,dark,adj./n.,dark (adj./n.),黑暗的
1,date,n./v.,date (n./v.),日期
1,daughter,n.,daughter (n.),女兒
1,day,n.,day (n.),天
1,dead,adj.,dead (adj.),死的
1,deal,n./v.,deal (n./v.),交易
1,dear,adj./n./adv.,dear (adj./n./adv.),親愛的
1,death,n.,death (n.),死亡
1,decide,v.,decide (v.),決定
1,deep,adj./adv.,deep (adj./adv.),深的
1,define,v.,define (v.),定義
1,desk,n.,desk (n.),桌子
1,dictionary,n.,dictionary (n.),字典
1,die,v.,die (v.),死
1,different,adj.,different (adj.),不同的
1,difficult,adj.,difficult (adj.),難的
1,dig,v./n.,dig (v./n.),挖
1,dinner,n.,dinner (n.),晚餐
1,dirty,adj./v.,dirty (adj./v.),骯髒的
1,dish,n./v.,dish (n./v.),盤子
1,do,aux./v.,do (aux./v.),做
1,doctor/doc,n.,doctor/doc (n.),醫生/醫生
1,dog,n.,dog (n.),狗
1,doll,n.,doll (n.),玩具娃娃
1,dollar,n.,dollar (n.),美元
1,door,n.,door (n.),門
1,down,adv./prep./adj./n./v.,down (adv./prep./adj./n./v.),向下
1,dozen,n.,dozen (n.),打
1,draw,v./n.,draw (v./n.),畫
1,dream,n./v.,dream (n./v.),夢
1,dress,n./v.,dress (n./v.),裙子
1,drink,v./n.,drink (v./n.),喝
1,drive,v./n.,drive (v./n.),駕駛
1,driver,n.,driver (n.),司機
1,drop,v./n.,drop (v./n.),降低
1,drum,n./v.,drum (n./v.),鼓
1,dry,adj./v.,dry (adj./v.),乾燥
1,duck,n./v.,duck (n./v.),鴨子
1,during,prep.,during (prep.),期間
1,each,pron./adj./adv.,each (pron./adj./adv.),每個
1,ear,n.,ear (n.),耳朵
1,early,adj./adv.,early (adj./adv.),早期的
1,earth,n.,earth (n.),地球
1,east,n./adj./adv.,east (n./adj./adv.),東方
1,easy,adj.,easy (adj.),簡單的
1,eat,v.,eat (v.),吃
1,egg,n.,egg (n.),蛋
1,either,adv./pron./adj./conj.,either (adv./pron./adj./conj.),任何一個
1,elephant,n.,elephant (n.),大象
1,else,adv.,else (adv.),別的
1,email,n./v.,email (n./v.),電子郵件
1,end,n./v.,end (n./v.),結尾
1,engineer,n.,engineer (n.),工程師
1,enjoy(ment),v./(n.),enjoy(ment) (v./(n.)),享受）
1,enough,adv./adj./n.,enough (adv./adj./n.),足夠的
1,enter,v.,enter (v.),進入
1,envelope,n.,envelope (n.),信封
1,eraser,n.,eraser (n.),橡皮
1,error,n.,error (n.),錯誤
1,even,adv./adj./v.,even (adv./adj./v.),甚至
1,evening,n.,evening (n.),晚上
1,ever,adv.,ever (adv.),曾經
1,every,adj.,every (adj.),每一個
1,everyone/everybody,pron.,everyone/everybody (pron.),每個人/每個人
1,everything,pron.,everything (pron.),一切
1,example,n.,example (n.),例子
1,excellent,adj.,excellent (adj.),出色的
1,except,prep./conj.,except (prep./conj.),除了
1,excited,adj.,excited (adj.),興奮的
1,exciting,adj.,exciting (adj.),令人興奮的
1,exercise,n./v.,exercise (n./v.),鍛鍊
1,expect,v.,expect (v.),預計
1,expensive,adj.,expensive (adj.),昂貴的
1,experience,n./v.,experience (n./v.),經驗
1,explain,v.,explain (v.),解釋
1,eye,n.,eye (n.),眼睛
1,face,n./v.,face (n./v.),臉
1,fact,n.,fact (n.),事實
1,factory,n.,factory (n.),工廠
1,fail,v./n.,fail (v./n.),失敗
1,fall,n./v.,fall (n./v.),落下
1,family,n.,family (n.),家庭
1,famous,adj.,famous (adj.),著名的
1,fan,n./v.,fan (n./v.),扇子
1,far,adv./adj.,far (adv./adj.),遠的
1,farm,n./v.,farm (n./v.),農場
1,farmer,n.,farmer (n.),農民
1,fast,adv./adj.,fast (adv./adj.),快速地
1,fat,n./adj.,fat (n./adj.),胖的
1,father,n.,father (n.),父親
1,feed,v./n.,feed (v./n.),餵食
1,feel,v./n.,feel (v./n.),感覺
1,festival,n.,festival (n.),節慶
1,few,adj./pron.,few (adj./pron.),很少
1,fight,v./n.,fight (v./n.),鬥爭
1,file,n./v.,file (n./v.),文件
1,fill,v./n.,fill (v./n.),充滿
1,finally,adv.,finally (adv.),最後
1,find,v./n.,find (v./n.),尋找
1,fine,adj./adv./v./n.,fine (adj./adv./v./n.),美好的
1,finger,n./v.,finger (n./v.),手指
1,finish,v./n.,finish (v./n.),結束
1,fire,n./v.,fire (n./v.),火
1,first,n./adv./adj.,first (n./adv./adj.),第一的
1,fish,n./v.,fish (n./v.),魚
1,floor,n./v.,floor (n./v.),地面
1,flower,n./v.,flower (n./v.),花
1,fly,v./n.,fly (v./n.),飛
1,follow,v.,follow (v.),跟隨
1,food,n.,food (n.),食物
1,fool,n./v.,fool (n./v.),傻子
1,foot,n./v.,foot (n./v.),腳
1,for,prep./conj.,for (prep./conj.),為了
1,foreign,adj.,foreign (adj.),外國的
1,foreigner,n.,foreigner (n.),外國人
1,forget,v.,forget (v.),忘記
1,fork,n.,fork (n.),叉
1,free,adj./v./adv.,free (adj./v./adv.),自由的
1,fresh,adj.,fresh (adj.),新鮮的
1,friend,n.,friend (n.),朋友
1,friendly,adj.,friendly (adj.),友善的
1,frog,n.,frog (n.),青蛙
1,from,prep.,from (prep.),從
1,front,adj./n.,front (adj./n.),正面
1,fruit,n.,fruit (n.),水果
1,full,adj.,full (adj.),滿的
1,fun,n.,fun (n.),樂趣
1,funny,adj.,funny (adj.),有趣的
1,future,n./adj.,future (n./adj.),未來
1,game,n.,game (n.),遊戲
1,garden,n./v.,garden (n./v.),花園
1,gate,n.,gate (n.),門
1,get,v.,get (v.),得到
1,ghost,n.,ghost (n.),鬼
1,giant,adj./n.,giant (adj./n.),巨大的
1,gift,n.,gift (n.),禮物
1,girl,n.,girl (n.),女孩
1,give,v.,give (v.),給
1,glad,adj.,glad (adj.),高興的
1,glass,n.,glass (n.),玻璃
1,glasses,n.,glasses (n.),眼鏡
1,glove(s),n.,glove(s) (n.),手套）
1,go,v./n.,go (v./n.),去
1,god/goddess,n.,god/goddess (n.),男神/女神
1,good,adj./adv./n.,good (adj./adv./n.),好的
1,goodbye,n.,goodbye (n.),再見
1,grade,n./v.,grade (n./v.),年級
1,grandfather,n.,grandfather (n.),祖父
1,grandmother,n.,grandmother (n.),祖母
1,grass,n.,grass (n.),草
1,gray,adj./n./v.,gray (adj./n./v.),灰色的
1,great,adj./n.,great (adj./n.),偉大的
1,green,adj./n./v.,green (adj./n./v.),綠色的
1,ground,n./v.,ground (n./v.),地面
1,group,n./v.,group (n./v.),團體
1,grow,v.,grow (v.),生長
1,guess,v./n.,guess (v./n.),猜測
1,guitar,n.,guitar (n.),吉他
1,guy,n.,guy (n.),傢伙
1,habit,n.,habit (n.),習慣
1,hair,n.,hair (n.),頭髮
1,half,n./adv./adj.,half (n./adv./adj.),一半
1,ham,n.,ham (n.),火腿
1,hand,n./v.,hand (n./v.),手
1,hang,v.,hang (v.),懸掛
1,happen,v.,happen (v.),發生
1,happy,adj.,happy (adj.),快樂的
1,hard,adj./adv.,hard (adj./adv.),難的
1,hat,n.,hat (n.),帽子
1,hate,v./n.,hate (v./n.),恨
1,have,aux./v.,have (aux./v.),有
1,"he (him, his, himself)",pron.,"he (him, his, himself) (pron.)",他（他，他的，他自己）
1,head,n./v.,head (n./v.),頭
1,headache,n.,headache (n.),頭痛
1,health,n.,health (n.),健康
1,healthy,adj.,healthy (adj.),健康
1,hear,v.,hear (v.),聽到
1,heart,n.,heart (n.),心
1,heat,n./v.,heat (n./v.),熱
1,heavy,adj.,heavy (adj.),重的
1,height,n.,height (n.),高度
1,hello,n.,hello (n.),你好
1,help,v./n.,help (v./n.),幫助
1,helpful,adj.,helpful (adj.),有幫助的
1,hen,n.,hen (n.),母雞
1,here,adv./n.,here (adv./n.),這裡
1,hide,v.,hide (v.),隱藏
1,high,adj./adv./n.,high (adj./adv./n.),高的
1,hill,n.,hill (n.),爬坡道
1,history,n.,history (n.),歷史
1,hit,v./n.,hit (v./n.),打
1,hobby,n.,hobby (n.),嗜好
1,hold,v./n.,hold (v./n.),抓住
1,holiday,n.,holiday (n.),假期
1,home,n./adv./v./adj.,home (n./adv./v./adj.),家
1,homework,n.,homework (n.),家庭作業
1,honest,adj.,honest (adj.),誠實的
1,honey,n.,honey (n.),蜂蜜
1,hope,v./n.,hope (v./n.),希望
1,horse,n.,horse (n.),馬
1,hospital,n.,hospital (n.),醫院
1,hot,adj.,hot (adj.),熱的
1,hotel,n.,hotel (n.),飯店
1,hour,n.,hour (n.),小時
1,house,n./v.,house (n./v.),房子
1,housewife,n.,housewife (n.),家庭主婦
1,how,adv.,how (adv.),如何
1,however,adv.,however (adv.),然而
1,hundred,n./adj.,hundred (n./adj.),百
1,hungry,adj.,hungry (adj.),飢餓的
1,hurt,v./n.,hurt (v./n.),傷害
1,husband,n.,husband (n.),丈夫
1,"I (me, my, mine, myself)",pron.,"I (me, my, mine, myself) (pron.)",我（我，我的，我的，我自己）
1,ice,n.,ice (n.),冰
1,idea,n.,idea (n.),主意
1,if,conj.,if (conj.),如果
1,important,adj.,important (adj.),重要的
1,in,prep./adv./adj.,in (prep./adv./adj.),在
1,inch,n.,inch (n.),英吋
1,insect,n.,insect (n.),昆蟲
1,inside,prep./adv./n./adj.,inside (prep./adv./n./adj.),裡面
1,interest,n./v.,interest (n./v.),興趣
1,interested,adj.,interested (adj.),有興趣的
1,interesting,adj.,interesting (adj.),有趣的
1,interview,n./v.,interview (n./v.),面試
1,into,prep.,into (prep.),進入
1,invite,v.,invite (v.),邀請
1,island,n.,island (n.),島
1,"it (its, itself)",pron.,"it (its, itself) (pron.)",它（它的，它本身）
1,item,n.,item (n.),物品
1,jacket,n.,jacket (n.),夾克
1,jeans,n.,jeans (n.),牛仔褲
1,job,n.,job (n.),工作
1,join,v./n.,join (v./n.),加入
1,joke,n./v.,joke (n./v.),開玩笑
1,joy,n.,joy (n.),喜悅
1,juice,n.,juice (n.),汁
1,jump,v./n.,jump (v./n.),跳
1,just,adv./adj.,just (adv./adj.),只是
1,keep,v./n.,keep (v./n.),保持
1,key,adj./n./v.,key (adj./n./v.),鑰匙
1,kick,v./n.,kick (v./n.),踢
1,kid,n./v.,kid (n./v.),孩子
1,kill,v./n.,kill (v./n.),殺
1,kind,adj./n.,kind (adj./n.),種類
1,king,n.,king (n.),國王
1,kiss,n./v.,kiss (n./v.),吻
1,kitchen,n.,kitchen (n.),廚房
1,kite,n.,kite (n.),風箏
1,knee,n./v.,knee (n./v.),膝蓋
1,knife,n./v.,knife (n./v.),刀
1,knock,v./n.,knock (v./n.),敲
1,know,v.,know (v.),知道
1,knowledge n. lake,n.,knowledge n. lake (n.),知識湖
1,lamp,n.,lamp (n.),燈
1,land,n./v.,land (n./v.),土地
1,language,n.,language (n.),語言
1,large,adj.,large (adj.),大的
1,last,n./v./adv./adj.,last (n./v./adv./adj.),最後的
1,late,adj./adv.,late (adj./adv.),晚的
1,later,adv.,later (adv.),之後
1,laugh,v./n.,laugh (v./n.),笑
1,lawyer,n.,lawyer (n.),律師
1,lazy,adj.,lazy (adj.),懶惰的
1,lead,v./n.,lead (v./n.),帶領
1,leader,n.,leader (n.),領導者
1,learn,v.,learn (v.),學習
1,least,adv./pron./adj.,least (adv./pron./adj.),至少
1,leave,v./n.,leave (v./n.),離開
1,left,adj./n./adv.,left (adj./n./adv.),左邊
1,leg,n.,leg (n.),腿
1,lemon,n.,lemon (n.),檸檬
1,less,pron./adv./adj./prep.,less (pron./adv./adj./prep.),較少的
1,lesson,n.,lesson (n.),課
1,let,v.,let (v.),讓
1,letter,n.,letter (n.),信
1,level,n./adj.,level (n./adj.),等級
1,library,n.,library (n.),圖書館
1,lie,v./n.,lie (v./n.),說謊
1,life,n.,life (n.),生活
1,light,n./adj./v./adv.,light (n./adj./v./adv.),光
1,like,prep./v./n.,like (prep./v./n.),喜歡
1,line,n./v.,line (n./v.),線
1,lion,n.,lion (n.),獅子
1,lip,n.,lip (n.),唇
1,list,n./v.,list (n./v.),清單
1,listen,v.,listen (v.),聽
1,little,adj./adv./n.,little (adj./adv./n.),小的
1,live,v./adj.,live (v./adj.),居住
1,lonely,adj.,lonely (adj.),孤獨
1,long,adj./adv./v.,long (adj./adv./v.),長的
1,look,v./n.,look (v./n.),看
1,lose,v.,lose (v.),失去
1,lot,n.,lot (n.),很多
1,loud,adv./adj.,loud (adv./adj.),大聲
1,love,n./v.,love (n./v.),愛
1,lovely,adj.,lovely (adj.),迷人的
1,low,adj./adv./n.,low (adj./adv./n.),低的
1,lucky,adj.,lucky (adj.),幸運的
1,lunch,n./v.,lunch (n./v.),午餐
1,machine,n./v.,machine (n./v.),機器
1,mad,adj.,mad (adj.),瘋狂的
1,magic,adj./n.,magic (adj./n.),魔法
1,mail,n./v.,mail (n./v.),郵件
1,main,adj./n.,main (adj./n.),主要的
1,make,v.,make (v.),製作
1,man,n./v.,man (n./v.),男人
1,many,adj./pron.,many (adj./pron.),許多
1,map,n./v.,map (n./v.),地圖
1,mark,n./v.,mark (n./v.),標記
1,market,n./v.,market (n./v.),市場
1,married,adj.,married (adj.),已婚
1,mathematics/math,n.,mathematics/math (n.),數學/數學
1,matter,n./v.,matter (n./v.),事
1,may,aux.,may (aux.),可能
1,maybe,adv.,maybe (adv.),或許
1,meal,n.,meal (n.),一頓飯
1,mean,v./adj.,mean (v./adj.),意思是
1,meat,n.,meat (n.),肉
1,media,n.,media (n.),媒體
1,medicine,n.,medicine (n.),藥物
1,medium,adj.,medium (adj.),中等的
1,meet,v.,meet (v.),見面
1,meeting,n.,meeting (n.),會議
1,member,n.,member (n.),成員
1,menu,n.,menu (n.),選單
1,middle,adj./n.,middle (adj./n.),中間
1,milk,n.,milk (n.),牛奶
1,million,n.,million (n.),百萬
1,mind,n./v.,mind (n./v.),頭腦
1,mine,n./v.,mine (n./v.),礦
1,minute,n.,minute (n.),分分鐘
1,miss,v./n.,miss (v./n.),錯過
1,mistake,n./v.,mistake (n./v.),錯誤
1,modern,adj.,modern (adj.),現代的
1,moment,n.,moment (n.),片刻
1,money,n.,money (n.),錢
1,monkey,n.,monkey (n.),猴
1,month,n.,month (n.),月
1,moon,n.,moon (n.),月亮
1,more,adj./pron./adv.,more (adj./pron./adv.),更多的
1,morning,n.,morning (n.),早晨
1,most,adv./pron./adj.,most (adv./pron./adj.),最多
1,mother,n.,mother (n.),母親
1,mountain,n.,mountain (n.),山
1,mouse,n.,mouse (n.),老鼠
1,mouth,n./v.,mouth (n./v.),嘴
1,move(ment),v./(n.),move(ment) (v./(n.)),移動）
1,movie/film,n.,movie/film (n.),電影/電影
1,Mr./Mister,n.,Mr./Mister (n.),先生/先生
1,Mrs.,n.,Mrs. (n.),太太。
1,Ms.,n.,Ms. (n.),多發性硬化症。
1,much,adj./pron./adv.,much (adj./pron./adv.),很多
1,mud,n.,mud (n.),土
1,museum,n.,museum (n.),博物館
1,music,n.,music (n.),音樂
1,must,aux./n.,must (aux./n.),必須
1,name,n./v.,name (n./v.),姓名
1,national,adj.,national (adj.),國家的
1,nature,n.,nature (n.),自然
1,near,prep./adj./adv./v.,near (prep./adj./adv./v.),靠近
1,neck,n.,neck (n.),脖子
1,need,v./n./aux.,need (v./n./aux.),需要
1,net,n./v.,net (n./v.),網
1,never,adv.,never (adv.),絕不
1,new,adj.,new (adj.),新的
1,news,n.,news (n.),訊息
1,newspaper,n.,newspaper (n.),報紙
1,next,adj./adv.,next (adj./adv.),下一個
1,nice,adj.,nice (adj.),好的
1,night,n.,night (n.),夜晚
1,no/nope,adj./adv./n.,no/nope (adj./adv./n.),不/不
1,nobody,pron./n.,nobody (pron./n.),沒有人
1,noise,n.,noise (n.),噪音
1,noisy,adj.,noisy (adj.),吵雜
1,noon,n.,noon (n.),中午
1,north,n./adj./adv.,north (n./adj./adv.),北
1,nose,n.,nose (n.),鼻子
1,not,adv.,not (adv.),不是
1,note,n./v.,note (n./v.),筆記
1,nothing,pron./n.,nothing (pron./n.),沒有什麼
1,notice,v./n.,notice (v./n.),注意
1,now,adv./n.,now (adv./n.),現在
1,number,n./v.,number (n./v.),數位
1,nurse,n./v.,nurse (n./v.),護士
1,O.K./OK/okay,adj./adv./n./v.,O.K./OK/okay (adj./adv./n./v.),好的/好的/好的
1,o’clock,adv.,o’clock (adv.),點鐘
1,of,prep.,of (prep.),的
1,off,adv./prep./adj.,off (adv./prep./adj.),離開
1,office,n.,office (n.),辦公室
1,officer,n.,officer (n.),官
1,often,adv.,often (adv.),常
1,oil,n./v.,oil (n./v.),油
1,old,adj.,old (adj.),老的
1,on,prep./adv.,on (prep./adv.),在
1,once,adv./conj./n.,once (adv./conj./n.),一次
1,online,adj.,online (adj.),在線的
1,only,adv./adj./conj.,only (adv./adj./conj.),僅有的
1,open,adj./v.,open (adj./v.),打開
1,or,conj.,or (conj.),或者
1,orange,adj./n.,orange (adj./n.),橘子
1,order,n./v.,order (n./v.),命令
1,other,adj./pron.,other (adj./pron.),其他
1,out,adv./prep./adj./n./v.,out (adv./prep./adj./n./v.),出去
1,outside,prep./adv./adj./n.,outside (prep./adv./adj./n.),外部
1,over,prep./adv.,over (prep./adv.),超過
1,own,adj./pron./v.,own (adj./pron./v.),自己的
1,pack,n./v.,pack (n./v.),盒
1,package,n.,package (n.),包裹
1,page,n.,page (n.),頁
1,paint,n./v.,paint (n./v.),畫
1,pair,n.,pair (n.),一對
1,pants,n.,pants (n.),褲子
1,paper,n./v.,paper (n./v.),紙
1,parent(s),n.,parent(s) (n.),父母）
1,park,n./v.,park (n./v.),公園
1,part,n./v.,part (n./v.),部分
1,party,n./v.,party (n./v.),派對
1,pass,v./n.,pass (v./n.),經過
1,past,adj./n./prep./adv.,past (adj./n./prep./adv.),過去的
1,pay(ment),v./(n.),pay(ment) (v./(n.)),支付）
1,pen,n./v.,pen (n./v.),筆
1,pencil,n.,pencil (n.),鉛筆
1,people,n./v.,people (n./v.),人們
1,perhaps,adv.,perhaps (adv.),也許
1,person,n.,person (n.),人
1,pet,n./v.,pet (n./v.),寵物
1,photograph/photo,n./v.,photograph/photo (n./v.),照片/照片
1,piano,n.,piano (n.),鋼琴
1,pick,v./n.,pick (v./n.),挑選
1,picnic,n./v.,picnic (n./v.),野餐
1,picture,n./v.,picture (n./v.),圖片
1,pie,n.,pie (n.),派
1,piece,n./v.,piece (n./v.),片
1,pig,n./v.,pig (n./v.),豬
1,pin,n./v.,pin (n./v.),別針
1,pink,adj./n.,pink (adj./n.),粉紅色的
1,pipe,n./v.,pipe (n./v.),管道
1,place,n./v.,place (n./v.),地方
1,plan,n./v.,plan (n./v.),計劃
1,planet,n.,planet (n.),行星
1,plant,n./v.,plant (n./v.),植物
1,plate,n.,plate (n.),盤子
1,play,v./n.,play (v./n.),玩
1,player,n.,player (n.),玩家
1,please,v.,please (v.),請
1,pleasure,n.,pleasure (n.),樂趣
1,pm/p.m.,adv.,pm/p.m. (adv.),下午/下午
1,pocket,n./v.,pocket (n./v.),口袋
